Kraj_code;Název kraje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CZ010;Hlavní město Praha;457 757 ;511 246 ;558 888 ;597 973 ;655 153 ;708 200 ;758 020 ;836 939 ;870 291 ;838 080 ;862 444 ;856 151 ;858 559 ;876 359 ;911 777 ;975 271 ;1 009 835 ;1 061 767 ;1 136 994 ;1 202 237 ;1 173 010 ;1 264 456 
CZ020;Středočeský kraj;231 894 ;248 375 ;263 397 ;268 560 ;291 625 ;297 922 ;327 085 ;353 798 ;364 982 ;343 466 ;334 970 ;349 676 ;352 340 ;348 241 ;370 779 ;391 625 ;413 124 ;439 282 ;450 733 ;498 535 ;466 527 ;494 720 
CZ031;Jihočeský kraj;218 653 ;232 612 ;239 000 ;245 946 ;266 082 ;286 132 ;302 649 ;316 540 ;318 904 ;315 357 ;312 784 ;315 115 ;323 248 ;325 171 ;334 700 ;351 908 ;360 689 ;388 721 ;407 696 ;436 248 ;437 479 ;453 208 
CZ032;Plzeňský kraj;217 339 ;236 597 ;244 227 ;259 292 ;291 983 ;298 889 ;327 285 ;343 401 ;334 946 ;340 058 ;345 546 ;353 913 ;345 611 ;362 226 ;381 445 ;401 079 ;414 514 ;439 561 ;459 122 ;476 656 ;467 511 ;504 354 
CZ041;Karlovarský kraj;198 927 ;207 201 ;215 386 ;224 666 ;234 576 ;242 778 ;249 888 ;271 078 ;271 316 ;273 170 ;266 167 ;270 583 ;268 021 ;271 486 ;278 928 ;287 508 ;295 863 ;315 090 ;324 490 ;339 402 ;327 832 ;339 491 
CZ042;Ústecký kraj;192 463 ;204 546 ;210 370 ;225 235 ;241 738 ;256 541 ;273 508 ;290 732 ;298 837 ;302 609 ;292 167 ;293 426 ;296 217 ;294 304 ;302 959 ;328 369 ;326 270 ;343 902 ;355 678 ;387 443 ;374 693 ;395 524 
CZ051;Liberecký kraj;212 317 ;228 145 ;232 639 ;225 598 ;241 241 ;266 485 ;280 680 ;289 290 ;292 223 ;280 704 ;285 941 ;292 973 ;296 158 ;301 907 ;318 858 ;336 360 ;346 725 ;369 436 ;387 199 ;412 381 ;404 018 ;421 913 
CZ052;Královéhradecký kraj;216 036 ;230 209 ;233 524 ;241 642 ;263 174 ;274 548 ;286 588 ;312 744 ;320 260 ;319 188 ;318 478 ;323 559 ;324 940 ;332 914 ;348 303 ;372 872 ;392 482 ;427 537 ;447 849 ;480 583 ;480 648 ;522 295 
CZ053;Pardubický kraj;198 035 ;212 988 ;219 722 ;229 804 ;247 050 ;256 034 ;280 473 ;306 230 ;309 541 ;299 856 ;302 305 ;317 340 ;300 829 ;308 073 ;327 801 ;346 772 ;360 648 ;389 192 ;408 435 ;427 003 ;437 046 ;453 219 
CZ063;Kraj Vysočina;191 152 ;215 006 ;221 093 ;229 670 ;244 066 ;263 171 ;282 186 ;308 831 ;305 177 ;302 964 ;299 891 ;313 878 ;321 295 ;325 700 ;341 723 ;354 802 ;368 002 ;393 460 ;403 940 ;434 819 ;448 214 ;460 423 
CZ064;Jihomoravský kraj;209 642 ;228 794 ;237 324 ;251 717 ;271 252 ;285 029 ;306 324 ;338 975 ;365 978 ;352 562 ;355 167 ;363 284 ;368 337 ;382 527 ;389 046 ;415 760 ;422 688 ;447 205 ;480 770 ;513 061 ;519 667 ;562 278 
CZ071;Olomoucký kraj;184 223 ;196 872 ;198 792 ;210 323 ;230 997 ;234 705 ;246 319 ;267 878 ;279 771 ;274 629 ;279 429 ;290 648 ;293 249 ;295 367 ;311 025 ;332 055 ;345 770 ;372 595 ;392 513 ;419 386 ;422 586 ;453 360 
CZ072;Zlínský kraj;189 315 ;206 121 ;212 883 ;223 012 ;237 450 ;255 738 ;279 520 ;301 566 ;324 093 ;315 167 ;312 807 ;322 348 ;322 790 ;330 503 ;356 565 ;372 940 ;385 553 ;411 341 ;425 184 ;460 131 ;449 542 ;484 632 
CZ080;Moravskoslezský kraj;179 281 ;195 097 ;199 761 ;208 958 ;236 455 ;263 457 ;277 145 ;302 894 ;317 645 ;300 665 ;307 469 ;323 213 ;327 488 ;319 227 ;341 300 ;358 407 ;371 721 ;390 391 ;415 600 ;424 278 ;410 195 ;453 836 
