Kraj_code;Název kraje;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
CZ010;Hlavní město Praha;162 894 ;178 084 ;188 987 ;200 842 ;211 183 ;220 263 ;237 921 ;246 545 ;257 876 ;260 847 ;270 186 ;270 268 ;267 608 ;270 661 ;277 395 ;282 964 ;298 706 ;339 541 ;345 771 ;352 005 ;354 855 ;402 406 
CZ020;Středočeský kraj;129 663 ;137 953 ;149 592 ;158 644 ;164 988 ;172 285 ;183 764 ;195 689 ;203 805 ;213 025 ;216 090 ;216 792 ;229 714 ;221 054 ;224 851 ;229 059 ;243 461 ;250 925 ;271 720 ;290 048 ;279 629 ;295 852 
CZ031;Jihočeský kraj;121 502 ;129 205 ;132 471 ;140 757 ;148 209 ;155 618 ;168 465 ;174 300 ;188 530 ;189 137 ;185 713 ;188 910 ;189 316 ;188 933 ;198 604 ;204 178 ;210 004 ;222 770 ;238 692 ;250 957 ;260 531 ;280 656 
CZ032;Plzeňský kraj;123 000 ;133 679 ;139 225 ;142 895 ;153 433 ;159 870 ;168 964 ;181 343 ;192 667 ;194 396 ;195 980 ;197 635 ;201 951 ;205 466 ;209 126 ;221 733 ;221 473 ;235 470 ;245 932 ;267 189 ;274 419 ;293 568 
CZ041;Karlovarský kraj;122 581 ;125 859 ;129 674 ;136 100 ;139 154 ;146 497 ;154 255 ;160 523 ;167 595 ;176 989 ;176 998 ;178 822 ;176 211 ;179 605 ;186 425 ;195 758 ;202 884 ;221 205 ;231 766 ;245 004 ;245 490 ;255 189 
CZ042;Ústecký kraj;114 713 ;122 551 ;122 509 ;128 748 ;134 692 ;142 037 ;152 527 ;157 774 ;169 667 ;176 474 ;176 745 ;177 614 ;175 879 ;175 340 ;178 095 ;185 525 ;193 316 ;202 543 ;219 932 ;237 524 ;251 002 ;263 169 
CZ051;Liberecký kraj;120 099 ;129 363 ;136 323 ;139 690 ;144 941 ;153 665 ;163 633 ;170 853 ;176 622 ;182 818 ;186 628 ;184 926 ;185 815 ;187 004 ;194 272 ;201 245 ;209 222 ;218 368 ;233 071 ;248 858 ;255 672 ;267 824 
CZ052;Královéhradecký kraj;122 598 ;130 761 ;136 654 ;137 307 ;144 733 ;156 268 ;166 100 ;173 735 ;185 678 ;191 724 ;190 086 ;189 441 ;192 646 ;192 869 ;201 169 ;209 629 ;212 288 ;227 751 ;244 866 ;266 544 ;270 467 ;285 903 
CZ053;Pardubický kraj;112 537 ;120 794 ;126 975 ;132 222 ;139 812 ;150 866 ;157 851 ;168 792 ;179 331 ;183 590 ;181 504 ;185 624 ;190 957 ;191 405 ;201 085 ;207 775 ;213 750 ;225 772 ;240 923 ;253 833 ;263 739 ;278 318 
CZ063;Kraj Vysočina;108 025 ;117 934 ;128 408 ;133 423 ;142 880 ;151 461 ;160 860 ;171 109 ;181 857 ;185 055 ;185 385 ;189 839 ;190 156 ;193 467 ;200 447 ;209 785 ;216 484 ;228 542 ;247 590 ;264 213 ;272 707 ;287 868 
CZ064;Jihomoravský kraj;117 382 ;127 501 ;130 308 ;135 587 ;147 033 ;154 291 ;161 516 ;175 095 ;186 469 ;190 370 ;194 407 ;193 172 ;197 169 ;201 555 ;208 653 ;217 439 ;218 686 ;231 022 ;245 232 ;265 966 ;274 066 ;292 153 
CZ071;Olomoucký kraj;113 434 ;122 068 ;129 029 ;134 494 ;140 306 ;144 411 ;156 408 ;166 485 ;177 258 ;179 279 ;176 441 ;180 278 ;182 785 ;180 568 ;188 477 ;195 604 ;199 780 ;210 488 ;227 077 ;241 821 ;250 499 ;269 311 
CZ072;Zlínský kraj;113 359 ;122 442 ;128 469 ;134 920 ;139 460 ;151 013 ;165 669 ;174 127 ;180 664 ;182 083 ;180 880 ;185 161 ;188 396 ;188 711 ;195 958 ;207 069 ;207 096 ;218 503 ;233 097 ;249 874 ;258 799 ;275 115 
CZ080;Moravskoslezský kraj;112 201 ;120 287 ;123 960 ;126 065 ;134 455 ;146 069 ;151 711 ;161 427 ;176 677 ;179 617 ;179 328 ;182 658 ;182 980 ;181 673 ;189 114 ;194 455 ;199 654 ;211 792 ;227 978 ;241 379 ;250 817 ;267 018 
